date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:18	1643/1643	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Oct%202015%2015:25:14%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/icons/saline-bottle.png	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/icons/saline-bottle.png	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:56:19	1849/1849	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Oct%202015%2015:25:14%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/icons/stethoscope.png	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/icons/stethoscope.png	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:56:20	223977/223977	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Oct%202015%2015:25:14%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/slider/slider-img2.jpg	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/slider/slider-img2.jpg	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:56:21	18928/18928	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Oct%202015%2015:25:14%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/news/news-thumb-img1.jpg	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/news/news-thumb-img1.jpg	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:56:23	25202/25202	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Oct%202015%2015:25:14%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/news/news-thumb-img2.jpg	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/news/news-thumb-img2.jpg	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:56:24	7200/7200	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2008%20Oct%202015%2015:25:16%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/jquery-migrate-1.2.1.min.js	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/jquery-migrate-1.2.1.min.js	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:56:28	36822/36822	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2008%20Oct%202015%2015:25:16%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/bootstrap.min.js	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/bootstrap.min.js	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:56:28	95962/95962	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2008%20Oct%202015%2015:25:16%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/jquery-1.11.3.min.js	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/jquery-1.11.3.min.js	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:56:28	237594/237594	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Oct%202015%2015:25:16%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/slider/slider-img3.jpg	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/slider/slider-img3.jpg	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:56:29	8301/8301	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2008%20Oct%202015%2015:25:16%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/js/jquery.easing.1.3.js	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/js/jquery.easing.1.3.js	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:56:30	15807/15807	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2008%20Oct%202015%2015:25:16%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/shuffle/jquery.shuffle.modernizr.min.js	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/shuffle/jquery.shuffle.modernizr.min.js	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:56:30	40700/40700	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2008%20Oct%202015%2015:25:16%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/js/camera.min.js	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/js/camera.min.js	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:56:30	71344/71344	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Oct%202015%2015:25:14%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/appointment-booking-img1.png	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/appointment-booking-img1.png	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
